datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
1/4/2015 1:00,1/3/2015 20:00,Other,1000,1,FALSE
1/4/2015 2:00,1/3/2015 21:00,Other,1000,1,FALSE
1/4/2015 3:00,1/3/2015 22:00,Other,1000,1,FALSE
1/4/2015 4:00,1/3/2015 23:00,Other,1000,1,FALSE
1/4/2015 5:00,1/4/2015 0:00,Other,1000,1,FALSE
1/4/2015 6:00,1/4/2015 1:00,Other,1000,1,FALSE
1/4/2015 7:00,1/4/2015 2:00,Other,1000,1,FALSE
1/4/2015 8:00,1/4/2015 3:00,Other,1000,1,FALSE
1/4/2015 9:00,1/4/2015 4:00,Other,1000,1,FALSE
1/4/2015 10:00,1/4/2015 5:00,Other,1000,1,FALSE
1/4/2015 11:00,1/4/2015 6:00,Other,1000,1,FALSE
1/4/2015 12:00,1/4/2015 7:00,Other,1000,1,FALSE
1/4/2015 13:00,1/4/2015 8:00,Other,1000,1,FALSE
1/4/2015 14:00,1/4/2015 9:00,Other,1000,1,FALSE
1/4/2015 15:00,1/4/2015 10:00,Other,1000,1,FALSE
1/4/2015 16:00,1/4/2015 11:00,Other,1000,1,FALSE
1/4/2015 17:00,1/4/2015 12:00,Other,1000,1,FALSE
1/4/2015 18:00,1/4/2015 13:00,Other,1000,1,FALSE
1/4/2015 19:00,1/4/2015 14:00,Other,1000,1,FALSE
1/4/2015 20:00,1/4/2015 15:00,Other,1000,1,FALSE
1/4/2015 21:00,1/4/2015 16:00,Other,1000,1,FALSE
1/4/2015 22:00,1/4/2015 17:00,Other,1000,1,FALSE
1/4/2015 23:00,1/4/2015 18:00,Other,1000,1,FALSE
1/5/2015 0:00,1/4/2015 19:00,Other,1000,1,FALSE
1/5/2015 1:00,1/4/2015 20:00,Other,1000,1,FALSE
1/5/2015 2:00,1/4/2015 21:00,Other,1000,1,FALSE
1/5/2015 3:00,1/4/2015 22:00,Other,1000,1,FALSE
1/5/2015 4:00,1/4/2015 23:00,Other,1000,1,FALSE
1/5/2015 5:00,1/5/2015 0:00,Other,1000,1,FALSE
1/5/2015 6:00,1/5/2015 1:00,Other,1000,1,FALSE
1/5/2015 7:00,1/5/2015 2:00,Other,1000,1,FALSE
1/5/2015 8:00,1/5/2015 3:00,Other,1000,1,FALSE
1/5/2015 9:00,1/5/2015 4:00,Other,1000,1,FALSE
1/5/2015 10:00,1/5/2015 5:00,Other,1000,1,FALSE
1/5/2015 11:00,1/5/2015 6:00,Other,1000,1,FALSE
1/5/2015 12:00,1/5/2015 7:00,Other,1000,1,FALSE
1/5/2015 13:00,1/5/2015 8:00,Other,1000,1,FALSE
1/5/2015 14:00,1/5/2015 9:00,Other,1000,1,FALSE
1/5/2015 15:00,1/5/2015 10:00,Other,1000,1,FALSE
1/5/2015 16:00,1/5/2015 11:00,Other,1000,1,FALSE
1/5/2015 17:00,1/5/2015 12:00,Other,1000,1,FALSE
1/5/2015 18:00,1/5/2015 13:00,Other,1000,1,FALSE
1/5/2015 19:00,1/5/2015 14:00,Other,1000,1,FALSE
1/5/2015 20:00,1/5/2015 15:00,Other,1000,1,FALSE
1/5/2015 21:00,1/5/2015 16:00,Other,1000,1,FALSE
1/5/2015 22:00,1/5/2015 17:00,Other,1000,1,FALSE
1/5/2015 23:00,1/5/2015 18:00,Other,1000,1,FALSE
1/6/2015 0:00,1/5/2015 19:00,Other,1000,1,FALSE
1/6/2015 1:00,1/5/2015 20:00,Other,1000,1,FALSE
1/6/2015 2:00,1/5/2015 21:00,Other,1000,1,FALSE
1/6/2015 3:00,1/5/2015 22:00,Other,1000,1,FALSE
1/6/2015 4:00,1/5/2015 23:00,Other,1000,1,FALSE
1/6/2015 5:00,1/6/2015 0:00,Other,1000,1,FALSE
1/6/2015 6:00,1/6/2015 1:00,Other,1000,1,FALSE
1/6/2015 7:00,1/6/2015 2:00,Other,1000,1,FALSE
1/6/2015 8:00,1/6/2015 3:00,Other,1000,1,FALSE
1/6/2015 9:00,1/6/2015 4:00,Other,1000,1,FALSE
1/6/2015 10:00,1/6/2015 5:00,Other,1000,1,FALSE
1/6/2015 11:00,1/6/2015 6:00,Other,1000,1,FALSE
1/6/2015 12:00,1/6/2015 7:00,Other,1000,1,FALSE
1/6/2015 13:00,1/6/2015 8:00,Other,1000,1,FALSE
1/6/2015 14:00,1/6/2015 9:00,Other,1000,1,FALSE
1/6/2015 15:00,1/6/2015 10:00,Other,1000,1,FALSE
1/6/2015 16:00,1/6/2015 11:00,Other,1000,1,FALSE
1/6/2015 17:00,1/6/2015 12:00,Other,1000,1,FALSE
1/6/2015 18:00,1/6/2015 13:00,Other,1000,1,FALSE
1/6/2015 19:00,1/6/2015 14:00,Other,1000,1,FALSE
1/6/2015 20:00,1/6/2015 15:00,Other,1000,1,FALSE
1/6/2015 21:00,1/6/2015 16:00,Other,1000,1,FALSE
1/6/2015 22:00,1/6/2015 17:00,Other,1000,1,FALSE
1/6/2015 23:00,1/6/2015 18:00,Other,1000,1,FALSE
1/7/2015 0:00,1/6/2015 19:00,Other,1000,1,FALSE
1/7/2015 1:00,1/6/2015 20:00,Other,1000,1,FALSE
1/7/2015 2:00,1/6/2015 21:00,Other,1000,1,FALSE
1/7/2015 3:00,1/6/2015 22:00,Other,1000,1,FALSE
1/7/2015 4:00,1/6/2015 23:00,Other,1000,1,FALSE
1/7/2015 5:00,1/7/2015 0:00,Other,1000,1,FALSE
1/7/2015 6:00,1/7/2015 1:00,Other,1000,1,FALSE
1/7/2015 7:00,1/7/2015 2:00,Other,1000,1,FALSE
1/7/2015 8:00,1/7/2015 3:00,Other,1000,1,FALSE
1/7/2015 9:00,1/7/2015 4:00,Other,1000,1,FALSE
1/7/2015 10:00,1/7/2015 5:00,Other,1000,1,FALSE
1/7/2015 11:00,1/7/2015 6:00,Other,1000,1,FALSE
1/7/2015 12:00,1/7/2015 7:00,Other,1000,1,FALSE
1/7/2015 13:00,1/7/2015 8:00,Other,1000,1,FALSE
1/7/2015 14:00,1/7/2015 9:00,Other,1000,1,FALSE
1/7/2015 15:00,1/7/2015 10:00,Other,1000,1,FALSE
1/7/2015 16:00,1/7/2015 11:00,Other,1000,1,FALSE
1/7/2015 17:00,1/7/2015 12:00,Other,1000,1,FALSE
1/7/2015 18:00,1/7/2015 13:00,Other,1000,1,FALSE
1/7/2015 19:00,1/7/2015 14:00,Other,1000,1,FALSE
1/7/2015 20:00,1/7/2015 15:00,Other,1000,1,FALSE
1/7/2015 21:00,1/7/2015 16:00,Other,1000,1,FALSE
1/7/2015 22:00,1/7/2015 17:00,Other,1000,1,FALSE
1/7/2015 23:00,1/7/2015 18:00,Other,1000,1,FALSE
1/8/2015 0:00,1/7/2015 19:00,Other,1000,1,FALSE
1/8/2015 1:00,1/7/2015 20:00,Other,1000,1,FALSE
1/8/2015 2:00,1/7/2015 21:00,Other,1000,1,FALSE
1/8/2015 3:00,1/7/2015 22:00,Other,1000,1,FALSE
1/8/2015 4:00,1/7/2015 23:00,Other,1000,1,FALSE
1/8/2015 5:00,1/8/2015 0:00,Other,1000,1,FALSE
1/8/2015 6:00,1/8/2015 1:00,Other,1000,1,FALSE
1/8/2015 7:00,1/8/2015 2:00,Other,1000,1,FALSE
1/8/2015 8:00,1/8/2015 3:00,Other,1000,1,FALSE
1/8/2015 9:00,1/8/2015 4:00,Other,1000,1,FALSE
1/8/2015 10:00,1/8/2015 5:00,Other,1000,1,FALSE
1/8/2015 11:00,1/8/2015 6:00,Other,1000,1,FALSE
1/8/2015 12:00,1/8/2015 7:00,Other,1000,1,FALSE
1/8/2015 13:00,1/8/2015 8:00,Other,1000,1,FALSE
1/8/2015 14:00,1/8/2015 9:00,Other,1000,1,FALSE
1/8/2015 15:00,1/8/2015 10:00,Other,1000,1,FALSE
1/8/2015 16:00,1/8/2015 11:00,Other,1000,1,FALSE
1/8/2015 17:00,1/8/2015 12:00,Other,1000,1,FALSE
1/8/2015 18:00,1/8/2015 13:00,Other,1000,1,FALSE
1/8/2015 19:00,1/8/2015 14:00,Other,1000,1,FALSE
1/8/2015 20:00,1/8/2015 15:00,Other,1000,1,FALSE
1/8/2015 21:00,1/8/2015 16:00,Other,1000,1,FALSE
1/8/2015 22:00,1/8/2015 17:00,Other,1000,1,FALSE
1/8/2015 23:00,1/8/2015 18:00,Other,1000,1,FALSE
1/9/2015 0:00,1/8/2015 19:00,Other,1000,1,FALSE
1/9/2015 1:00,1/8/2015 20:00,Other,1000,1,FALSE
1/9/2015 2:00,1/8/2015 21:00,Other,1000,1,FALSE
1/9/2015 3:00,1/8/2015 22:00,Other,1000,1,FALSE
1/9/2015 4:00,1/8/2015 23:00,Other,1000,1,FALSE
1/9/2015 5:00,1/9/2015 0:00,Other,1000,1,FALSE
1/9/2015 6:00,1/9/2015 1:00,Other,1000,1,FALSE
1/9/2015 7:00,1/9/2015 2:00,Other,1000,1,FALSE
1/9/2015 8:00,1/9/2015 3:00,Other,1000,1,FALSE
1/9/2015 9:00,1/9/2015 4:00,Other,1000,1,FALSE
1/9/2015 10:00,1/9/2015 5:00,Other,1000,1,FALSE
1/9/2015 11:00,1/9/2015 6:00,Other,1000,1,FALSE
1/9/2015 12:00,1/9/2015 7:00,Other,1000,1,FALSE
1/9/2015 13:00,1/9/2015 8:00,Other,1000,1,FALSE
1/9/2015 14:00,1/9/2015 9:00,Other,1000,1,FALSE
1/9/2015 15:00,1/9/2015 10:00,Other,1000,1,FALSE
1/9/2015 16:00,1/9/2015 11:00,Other,1000,1,FALSE
1/9/2015 17:00,1/9/2015 12:00,Other,1000,1,FALSE
1/9/2015 18:00,1/9/2015 13:00,Other,1000,1,FALSE
1/9/2015 19:00,1/9/2015 14:00,Other,1000,1,FALSE
1/9/2015 20:00,1/9/2015 15:00,Other,1000,1,FALSE
1/9/2015 21:00,1/9/2015 16:00,Other,1000,1,FALSE
1/9/2015 22:00,1/9/2015 17:00,Other,1000,1,FALSE
1/9/2015 23:00,1/9/2015 18:00,Other,1000,1,FALSE
1/10/2015 0:00,1/9/2015 19:00,Other,1000,1,FALSE
1/10/2015 1:00,1/9/2015 20:00,Other,1000,1,FALSE
1/10/2015 2:00,1/9/2015 21:00,Other,1000,1,FALSE
1/10/2015 3:00,1/9/2015 22:00,Other,1000,1,FALSE
1/10/2015 4:00,1/9/2015 23:00,Other,1000,1,FALSE
1/10/2015 5:00,1/10/2015 0:00,Other,1000,1,FALSE
1/10/2015 6:00,1/10/2015 1:00,Other,1000,1,FALSE
1/10/2015 7:00,1/10/2015 2:00,Other,1000,1,FALSE
1/10/2015 8:00,1/10/2015 3:00,Other,1000,1,FALSE
1/10/2015 9:00,1/10/2015 4:00,Other,1000,1,FALSE
1/10/2015 10:00,1/10/2015 5:00,Other,1000,1,FALSE
1/10/2015 11:00,1/10/2015 6:00,Other,1000,1,FALSE
1/10/2015 12:00,1/10/2015 7:00,Other,1000,1,FALSE
1/10/2015 13:00,1/10/2015 8:00,Other,1000,1,FALSE
1/10/2015 14:00,1/10/2015 9:00,Other,1000,1,FALSE
1/10/2015 15:00,1/10/2015 10:00,Other,1000,1,FALSE
1/10/2015 16:00,1/10/2015 11:00,Other,1000,1,FALSE
1/10/2015 17:00,1/10/2015 12:00,Other,1000,1,FALSE
1/10/2015 18:00,1/10/2015 13:00,Other,1000,1,FALSE
1/10/2015 19:00,1/10/2015 14:00,Other,1000,1,FALSE
1/10/2015 20:00,1/10/2015 15:00,Other,1000,1,FALSE
1/10/2015 21:00,1/10/2015 16:00,Other,1000,1,FALSE
1/10/2015 22:00,1/10/2015 17:00,Other,1000,1,FALSE
1/10/2015 23:00,1/10/2015 18:00,Other,1000,1,FALSE
1/11/2015 0:00,1/10/2015 19:00,Other,1000,1,FALSE
1/11/2015 1:00,1/10/2015 20:00,Other,1000,1,FALSE
1/11/2015 2:00,1/10/2015 21:00,Other,1000,1,FALSE
1/11/2015 3:00,1/10/2015 22:00,Other,1000,1,FALSE
1/11/2015 4:00,1/10/2015 23:00,Other,1000,1,FALSE
1/11/2015 5:00,1/11/2015 0:00,Other,1000,1,FALSE
1/11/2015 6:00,1/11/2015 1:00,Other,1000,1,FALSE
1/11/2015 7:00,1/11/2015 2:00,Other,1000,1,FALSE
1/11/2015 8:00,1/11/2015 3:00,Other,1000,1,FALSE
1/11/2015 9:00,1/11/2015 4:00,Other,1000,1,FALSE
1/11/2015 10:00,1/11/2015 5:00,Other,1000,1,FALSE
1/11/2015 11:00,1/11/2015 6:00,Other,1000,1,FALSE
1/11/2015 12:00,1/11/2015 7:00,Other,1000,1,FALSE
1/11/2015 13:00,1/11/2015 8:00,Other,1000,1,FALSE
1/11/2015 14:00,1/11/2015 9:00,Other,1000,1,FALSE
1/11/2015 15:00,1/11/2015 10:00,Other,1000,1,FALSE
1/11/2015 16:00,1/11/2015 11:00,Other,1000,1,FALSE
1/11/2015 17:00,1/11/2015 12:00,Other,1000,1,FALSE
1/11/2015 18:00,1/11/2015 13:00,Other,1000,1,FALSE
1/11/2015 19:00,1/11/2015 14:00,Other,1000,1,FALSE
1/11/2015 20:00,1/11/2015 15:00,Other,1000,1,FALSE
1/11/2015 21:00,1/11/2015 16:00,Other,1000,1,FALSE
1/11/2015 22:00,1/11/2015 17:00,Other,1000,1,FALSE
1/11/2015 23:00,1/11/2015 18:00,Other,1000,1,FALSE
1/12/2015 0:00,1/11/2015 19:00,Other,1000,1,FALSE
1/12/2015 1:00,1/11/2015 20:00,Other,1000,1,FALSE
1/12/2015 2:00,1/11/2015 21:00,Other,1000,1,FALSE
1/12/2015 3:00,1/11/2015 22:00,Other,1000,1,FALSE
1/12/2015 4:00,1/11/2015 23:00,Other,1000,1,FALSE
1/12/2015 5:00,1/12/2015 0:00,Other,1000,1,FALSE
1/12/2015 6:00,1/12/2015 1:00,Other,1000,1,FALSE
1/12/2015 7:00,1/12/2015 2:00,Other,1000,1,FALSE
1/12/2015 8:00,1/12/2015 3:00,Other,1000,1,FALSE
1/12/2015 9:00,1/12/2015 4:00,Other,1000,1,FALSE
1/12/2015 10:00,1/12/2015 5:00,Other,1000,1,FALSE
1/12/2015 11:00,1/12/2015 6:00,Other,1000,1,FALSE
1/12/2015 12:00,1/12/2015 7:00,Other,1000,1,FALSE
1/12/2015 13:00,1/12/2015 8:00,Other,1000,1,FALSE
1/12/2015 14:00,1/12/2015 9:00,Other,1000,1,FALSE
1/12/2015 15:00,1/12/2015 10:00,Other,1000,1,FALSE
1/12/2015 16:00,1/12/2015 11:00,Other,1000,1,FALSE
1/12/2015 17:00,1/12/2015 12:00,Other,1000,1,FALSE
1/12/2015 18:00,1/12/2015 13:00,Other,1000,1,FALSE
1/12/2015 19:00,1/12/2015 14:00,Other,1000,1,FALSE
1/12/2015 20:00,1/12/2015 15:00,Other,1000,1,FALSE
1/12/2015 21:00,1/12/2015 16:00,Other,1000,1,FALSE
1/12/2015 22:00,1/12/2015 17:00,Other,1000,1,FALSE
1/12/2015 23:00,1/12/2015 18:00,Other,1000,1,FALSE
1/13/2015 0:00,1/12/2015 19:00,Other,1000,1,FALSE
1/13/2015 1:00,1/12/2015 20:00,Other,1000,1,FALSE
1/13/2015 2:00,1/12/2015 21:00,Other,1000,1,FALSE
1/13/2015 3:00,1/12/2015 22:00,Other,1000,1,FALSE
1/13/2015 4:00,1/12/2015 23:00,Other,1000,1,FALSE
1/13/2015 5:00,1/13/2015 0:00,Other,1000,1,FALSE
1/13/2015 6:00,1/13/2015 1:00,Other,1000,1,FALSE
1/13/2015 7:00,1/13/2015 2:00,Other,1000,1,FALSE
1/13/2015 8:00,1/13/2015 3:00,Other,1000,1,FALSE
1/13/2015 9:00,1/13/2015 4:00,Other,1000,1,FALSE
1/13/2015 10:00,1/13/2015 5:00,Other,1000,1,FALSE
1/13/2015 11:00,1/13/2015 6:00,Other,1000,1,FALSE
1/13/2015 12:00,1/13/2015 7:00,Other,1000,1,FALSE
1/13/2015 13:00,1/13/2015 8:00,Other,1000,1,FALSE
1/13/2015 14:00,1/13/2015 9:00,Other,1000,1,FALSE
1/13/2015 15:00,1/13/2015 10:00,Other,1000,1,FALSE
1/13/2015 16:00,1/13/2015 11:00,Other,1000,1,FALSE
1/13/2015 17:00,1/13/2015 12:00,Other,1000,1,FALSE
1/13/2015 18:00,1/13/2015 13:00,Other,1000,1,FALSE
1/13/2015 19:00,1/13/2015 14:00,Other,1000,1,FALSE
1/13/2015 20:00,1/13/2015 15:00,Other,1000,1,FALSE
1/13/2015 21:00,1/13/2015 16:00,Other,1000,1,FALSE
1/13/2015 22:00,1/13/2015 17:00,Other,1000,1,FALSE
1/13/2015 23:00,1/13/2015 18:00,Other,1000,1,FALSE
1/14/2015 0:00,1/13/2015 19:00,Other,1000,1,FALSE
1/14/2015 1:00,1/13/2015 20:00,Other,1000,1,FALSE
1/14/2015 2:00,1/13/2015 21:00,Other,1000,1,FALSE
1/14/2015 3:00,1/13/2015 22:00,Other,1000,1,FALSE
1/14/2015 4:00,1/13/2015 23:00,Other,1000,1,FALSE
1/14/2015 5:00,1/14/2015 0:00,Other,1000,1,FALSE
1/14/2015 6:00,1/14/2015 1:00,Other,1000,1,FALSE
1/14/2015 7:00,1/14/2015 2:00,Other,1000,1,FALSE
1/14/2015 8:00,1/14/2015 3:00,Other,1000,1,FALSE
1/14/2015 9:00,1/14/2015 4:00,Other,1000,1,FALSE
1/14/2015 10:00,1/14/2015 5:00,Other,1000,1,FALSE
1/14/2015 11:00,1/14/2015 6:00,Other,1000,1,FALSE
1/14/2015 12:00,1/14/2015 7:00,Other,1000,1,FALSE
1/14/2015 13:00,1/14/2015 8:00,Other,1000,1,FALSE
1/14/2015 14:00,1/14/2015 9:00,Other,1000,1,FALSE
1/14/2015 15:00,1/14/2015 10:00,Other,1000,1,FALSE
1/14/2015 16:00,1/14/2015 11:00,Other,1000,1,FALSE
1/14/2015 17:00,1/14/2015 12:00,Other,1000,1,FALSE
1/14/2015 18:00,1/14/2015 13:00,Other,1000,1,FALSE
1/14/2015 19:00,1/14/2015 14:00,Other,1000,1,FALSE
1/14/2015 20:00,1/14/2015 15:00,Other,1000,1,FALSE
1/14/2015 21:00,1/14/2015 16:00,Other,1000,1,FALSE
1/14/2015 22:00,1/14/2015 17:00,Other,1000,1,FALSE
1/14/2015 23:00,1/14/2015 18:00,Other,1000,1,FALSE
1/15/2015 0:00,1/14/2015 19:00,Other,1000,1,FALSE
1/15/2015 1:00,1/14/2015 20:00,Other,1000,1,FALSE
1/15/2015 2:00,1/14/2015 21:00,Other,1000,1,FALSE
1/15/2015 3:00,1/14/2015 22:00,Other,1000,1,FALSE
1/15/2015 4:00,1/14/2015 23:00,Other,1000,1,FALSE
1/15/2015 5:00,1/15/2015 0:00,Other,1000,1,FALSE
1/15/2015 6:00,1/15/2015 1:00,Other,1000,1,FALSE
1/15/2015 7:00,1/15/2015 2:00,Other,1000,1,FALSE
1/15/2015 8:00,1/15/2015 3:00,Other,1000,1,FALSE
1/15/2015 9:00,1/15/2015 4:00,Other,1000,1,FALSE
1/15/2015 10:00,1/15/2015 5:00,Other,1000,1,FALSE
1/15/2015 11:00,1/15/2015 6:00,Other,1000,1,FALSE
1/15/2015 12:00,1/15/2015 7:00,Other,1000,1,FALSE
1/15/2015 13:00,1/15/2015 8:00,Other,1000,1,FALSE
1/15/2015 14:00,1/15/2015 9:00,Other,1000,1,FALSE
1/15/2015 15:00,1/15/2015 10:00,Other,1000,1,FALSE
1/15/2015 16:00,1/15/2015 11:00,Other,1000,1,FALSE
1/15/2015 17:00,1/15/2015 12:00,Other,1000,1,FALSE
1/15/2015 18:00,1/15/2015 13:00,Other,1000,1,FALSE
1/15/2015 19:00,1/15/2015 14:00,Other,1000,1,FALSE
1/15/2015 20:00,1/15/2015 15:00,Other,1000,1,FALSE
1/15/2015 21:00,1/15/2015 16:00,Other,1000,1,FALSE
1/15/2015 22:00,1/15/2015 17:00,Other,1000,1,FALSE
1/15/2015 23:00,1/15/2015 18:00,Other,1000,1,FALSE
1/16/2015 0:00,1/15/2015 19:00,Other,1000,1,FALSE
1/16/2015 1:00,1/15/2015 20:00,Other,1000,1,FALSE
1/16/2015 2:00,1/15/2015 21:00,Other,1000,1,FALSE
1/16/2015 3:00,1/15/2015 22:00,Other,1000,1,FALSE
1/16/2015 4:00,1/15/2015 23:00,Other,1000,1,FALSE
1/16/2015 5:00,1/16/2015 0:00,Other,1000,1,FALSE
1/16/2015 6:00,1/16/2015 1:00,Other,1000,1,FALSE
1/16/2015 7:00,1/16/2015 2:00,Other,1000,1,FALSE
1/16/2015 8:00,1/16/2015 3:00,Other,1000,1,FALSE
1/16/2015 9:00,1/16/2015 4:00,Other,1000,1,FALSE
1/16/2015 10:00,1/16/2015 5:00,Other,1000,1,FALSE
1/16/2015 11:00,1/16/2015 6:00,Other,1000,1,FALSE
1/16/2015 12:00,1/16/2015 7:00,Other,1000,1,FALSE
1/16/2015 13:00,1/16/2015 8:00,Other,1000,1,FALSE
1/16/2015 14:00,1/16/2015 9:00,Other,1000,1,FALSE
1/16/2015 15:00,1/16/2015 10:00,Other,1000,1,FALSE
1/16/2015 16:00,1/16/2015 11:00,Other,1000,1,FALSE
1/16/2015 17:00,1/16/2015 12:00,Other,1000,1,FALSE
1/16/2015 18:00,1/16/2015 13:00,Other,1000,1,FALSE
1/16/2015 19:00,1/16/2015 14:00,Other,1000,1,FALSE
1/16/2015 20:00,1/16/2015 15:00,Other,1000,1,FALSE
1/16/2015 21:00,1/16/2015 16:00,Other,1000,1,FALSE
1/16/2015 22:00,1/16/2015 17:00,Other,1000,1,FALSE
1/16/2015 23:00,1/16/2015 18:00,Other,1000,1,FALSE
1/17/2015 0:00,1/16/2015 19:00,Other,1000,1,FALSE
1/17/2015 1:00,1/16/2015 20:00,Other,1000,1,FALSE
1/17/2015 2:00,1/16/2015 21:00,Other,1000,1,FALSE
1/17/2015 3:00,1/16/2015 22:00,Other,1000,1,FALSE
1/17/2015 4:00,1/16/2015 23:00,Other,1000,1,FALSE
1/17/2015 5:00,1/17/2015 0:00,Other,1000,1,FALSE
1/17/2015 6:00,1/17/2015 1:00,Other,1000,1,FALSE
1/17/2015 7:00,1/17/2015 2:00,Other,1000,1,FALSE
1/17/2015 8:00,1/17/2015 3:00,Other,1000,1,FALSE
1/17/2015 9:00,1/17/2015 4:00,Other,1000,1,FALSE
1/17/2015 10:00,1/17/2015 5:00,Other,1000,1,FALSE
1/17/2015 11:00,1/17/2015 6:00,Other,1000,1,FALSE
1/17/2015 12:00,1/17/2015 7:00,Other,1000,1,FALSE
1/17/2015 13:00,1/17/2015 8:00,Other,1000,1,FALSE
1/17/2015 14:00,1/17/2015 9:00,Other,1000,1,FALSE
1/17/2015 15:00,1/17/2015 10:00,Other,1000,1,FALSE
1/17/2015 16:00,1/17/2015 11:00,Other,1000,1,FALSE
1/17/2015 17:00,1/17/2015 12:00,Other,1000,1,FALSE
